folder,set_uuid,uuid,stime,pos,frame,ch,slice,time,posname,x,y,z,framename,chname,slicename,meta_pos,meta_frame,meta_ch,meta_slice
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,09465770-9cf8-4ffe-bd2e-0db19fc46449,2014-11-30 16:40:05 -0800,0,0,1,0,7692,,165.1,-3280.1,-1,,561confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,37d8a41d-5bfd-477d-82e2-049695a95764,2014-11-30 16:40:05 -0800,0,0,0,0,820,,165.1,-3280.1,-1,,640confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,f8fa5f3f-ad12-4507-ba70-9b12b0c5cdc3,2014-11-30 16:42:37 -0800,0,0,1,0,7692,,184.5,-2635.9,-1,,561confocalEM,,1,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,14eb2647-453b-470e-a39a-760d610a2e33,2014-11-30 16:42:37 -0800,0,0,0,0,839,,184.5,-2635.9,-1,,640confocalEM,,1,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,e4666fff-e6b3-4497-8dbe-83482338dcbe,2014-11-30 16:44:19 -0800,0,0,1,0,7662,,434.1,-2283.2000000000003,-1,,561confocalEM,,2,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,7de19f97-b9e0-48b3-b899-0699cbb87304,2014-11-30 16:44:19 -0800,0,0,0,0,827,,434.1,-2283.2000000000003,-1,,640confocalEM,,2,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_5,07d270e3-24e5-4ef1-8ba4-3b76ba637148,5127ee1f-bbe1-414e-98b7-f8064d0fd093,2014-11-30 16:46:45 -0800,0,0,1,0,7654,,-922.8000000000001,-1729.8,-1,,561confocalEM,,4,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_5,07d270e3-24e5-4ef1-8ba4-3b76ba637148,0f677699-25da-4b82-afab-a4616dafe10c,2014-11-30 16:46:45 -0800,0,0,0,0,822,,-922.8000000000001,-1729.8,-1,,640confocalEM,,4,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_6,2959c586-9f6e-4718-a453-2f3baf5fd176,11a18d22-f3d3-40a0-a7f7-dcf3d3208027,2014-11-30 16:49:21 -0800,0,0,1,0,7648,,-805.2,-1179.6000000000001,-1,,561confocalEM,,5,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_6,2959c586-9f6e-4718-a453-2f3baf5fd176,4a522549-ed83-4933-8522-7cf8d5ebecef,2014-11-30 16:49:21 -0800,0,0,0,0,841,,-805.2,-1179.6000000000001,-1,,640confocalEM,,5,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,84836546-b87e-4082-ad81-9452b1898b4f,2014-11-30 16:40:05 -0800,0,0,1,1,8144,,165.1,-3280.1,-0.5,,561confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,064d8a76-5f1b-406e-acae-d8166116e87d,2014-11-30 16:40:05 -0800,0,0,0,1,1304,,165.1,-3280.1,-0.5,,640confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,64943044-1740-438f-bdb6-c60960a0d96a,2014-11-30 16:42:37 -0800,0,0,1,1,8144,,184.5,-2635.9,-0.5,,561confocalEM,,1,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,d668f3a3-0ebc-478c-9bd4-8f1b946ea166,2014-11-30 16:42:37 -0800,0,0,0,1,1293,,184.5,-2635.9,-0.5,,640confocalEM,,1,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,97fac819-2b09-4f5b-bab4-21f224b48e9a,2014-11-30 16:44:19 -0800,0,0,1,1,8114,,434.1,-2283.2000000000003,-0.5,,561confocalEM,,2,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,cb4f44b0-fd02-40aa-a015-ada1b4711cf4,2014-11-30 16:44:19 -0800,0,0,0,1,1302,,434.1,-2283.2000000000003,-0.5,,640confocalEM,,2,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_5,07d270e3-24e5-4ef1-8ba4-3b76ba637148,7b776029-444d-40fa-9021-3a686701d05f,2014-11-30 16:46:45 -0800,0,0,1,1,8103,,-922.8000000000001,-1729.8,-0.5,,561confocalEM,,4,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_5,07d270e3-24e5-4ef1-8ba4-3b76ba637148,3a3e6120-ba84-4bac-9c72-609056bf2592,2014-11-30 16:46:45 -0800,0,0,0,1,1276,,-922.8000000000001,-1729.8,-0.5,,640confocalEM,,4,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_6,2959c586-9f6e-4718-a453-2f3baf5fd176,725d4164-70d5-41f7-a12e-dbbc423b19b9,2014-11-30 16:49:21 -0800,0,0,1,1,8097,,-805.2,-1179.6000000000001,-0.5,,561confocalEM,,5,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_6,2959c586-9f6e-4718-a453-2f3baf5fd176,ab4ed5ae-7c1f-4b90-bfbe-9e3da49c5f42,2014-11-30 16:49:21 -0800,0,0,0,1,1292,,-805.2,-1179.6000000000001,-0.5,,640confocalEM,,5,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,0cb1b76d-d34b-483e-8b59-85b627bd40f9,2014-11-30 16:40:05 -0800,0,0,1,2,8593,,165.1,-3280.1,0,,561confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,0a1cbb9e-bcc0-444a-933f-4f6d4ddb7970,2014-11-30 16:40:05 -0800,0,0,0,2,1760,,165.1,-3280.1,0,,640confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,a2ea63e9-9f31-4462-bbd2-a9950ca2c2ac,2014-11-30 16:42:37 -0800,0,0,1,2,8594,,184.5,-2635.9,0,,561confocalEM,,1,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,47ff4b15-c189-4e6c-815b-d42509d8a468,2014-11-30 16:42:37 -0800,0,0,0,2,1745,,184.5,-2635.9,0,,640confocalEM,,1,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,4dcab39e-789e-459c-a415-af6752ace789,2014-11-30 16:44:19 -0800,0,0,1,2,8562,,434.1,-2283.2000000000003,0,,561confocalEM,,2,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,a2333afe-8cdc-4451-80aa-e63632ac29af,2014-11-30 16:44:19 -0800,0,0,0,2,1758,,434.1,-2283.2000000000003,0,,640confocalEM,,2,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_5,07d270e3-24e5-4ef1-8ba4-3b76ba637148,af872cd0-c826-488b-a244-684f4728507b,2014-11-30 16:46:45 -0800,0,0,1,2,8552,,-922.8000000000001,-1729.8,0,,561confocalEM,,4,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_5,07d270e3-24e5-4ef1-8ba4-3b76ba637148,b9775abb-13fe-464a-a2c0-62c53df1278a,2014-11-30 16:46:45 -0800,0,0,0,2,1727,,-922.8000000000001,-1729.8,0,,640confocalEM,,4,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_6,2959c586-9f6e-4718-a453-2f3baf5fd176,b679d60d-e6a5-459b-afc3-6c56dbdc359d,2014-11-30 16:49:21 -0800,0,0,1,2,8547,,-805.2,-1179.6000000000001,0,,561confocalEM,,5,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_6,2959c586-9f6e-4718-a453-2f3baf5fd176,602e7b4d-8683-46e1-87d6-ac30a8a49ba4,2014-11-30 16:49:21 -0800,0,0,0,2,1743,,-805.2,-1179.6000000000001,0,,640confocalEM,,5,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,afb930b3-5830-4aae-b6cf-bb13c0058949,2014-11-30 16:40:05 -0800,0,0,1,3,9042,,165.1,-3280.1,0.5,,561confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,fd6982af-419a-43e4-8bbb-74a6a492fa08,2014-11-30 16:40:05 -0800,0,0,0,3,2211,,165.1,-3280.1,0.5,,640confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,e79082c4-dacc-4b50-b6c1-1f31418ee64b,2014-11-30 16:42:37 -0800,0,0,1,3,9045,,184.5,-2635.9,0.5,,561confocalEM,,1,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,777b1a65-a7ef-4c83-817f-5aa5764a92ac,2014-11-30 16:42:37 -0800,0,0,0,3,2196,,184.5,-2635.9,0.5,,640confocalEM,,1,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,7cb21cf9-7225-4cbf-8794-ba52aab2a420,2014-11-30 16:44:19 -0800,0,0,1,3,9012,,434.1,-2283.2000000000003,0.5,,561confocalEM,,2,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,2199351d-6f61-453f-9306-265aaccaf691,2014-11-30 16:44:19 -0800,0,0,0,3,2208,,434.1,-2283.2000000000003,0.5,,640confocalEM,,2,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_5,07d270e3-24e5-4ef1-8ba4-3b76ba637148,164bec55-be38-452b-a034-202aa96d704b,2014-11-30 16:46:45 -0800,0,0,1,3,9008,,-922.8000000000001,-1729.8,0.5,,561confocalEM,,4,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_5,07d270e3-24e5-4ef1-8ba4-3b76ba637148,653aa98a-1f93-4edb-bbc5-861f0b3a2cad,2014-11-30 16:46:45 -0800,0,0,0,3,2183,,-922.8000000000001,-1729.8,0.5,,640confocalEM,,4,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_6,2959c586-9f6e-4718-a453-2f3baf5fd176,5473d8b4-a39c-499b-b162-33af3eec318d,2014-11-30 16:49:21 -0800,0,0,1,3,8995,,-805.2,-1179.6000000000001,0.5,,561confocalEM,,5,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_6,2959c586-9f6e-4718-a453-2f3baf5fd176,7b66251a-8637-405b-9cd4-c8ece63a5c59,2014-11-30 16:49:21 -0800,0,0,0,3,2191,,-805.2,-1179.6000000000001,0.5,,640confocalEM,,5,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,8ef3d0b7-4839-4994-b994-432d981e62d2,2014-11-30 16:40:05 -0800,0,0,0,4,2663,,165.1,-3280.1,1,,640confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_1,d4e344ee-9042-4934-8c16-cb0af8515388,4670471f-2ca5-4bc4-b78b-b12a38bb3a52,2014-11-30 16:40:05 -0800,0,0,1,4,9493,,165.1,-3280.1,1,,561confocalEM,,0,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,6c8971f1-eb51-4ac3-b106-2e9a2baf73f5,2014-11-30 16:42:37 -0800,0,0,0,4,2648,,184.5,-2635.9,1,,640confocalEM,,1,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_2,85b9f6c3-492d-4ff2-a178-c96a69c831ec,5e668ae9-7bcb-47e8-8ce8-b7c7496b6e95,2014-11-30 16:42:37 -0800,0,0,1,4,9496,,184.5,-2635.9,1,,561confocalEM,,1,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,9816605c-42dd-49bd-a3f1-2237fd7fe536,2014-11-30 16:44:19 -0800,0,0,0,4,2658,,434.1,-2283.2000000000003,1,,640confocalEM,,2,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_3,355dfbfa-7da7-414a-b50b-251b585190cf,339e68da-d384-48d1-bce8-e1c38b25e1b8,2014-11-30 16:44:19 -0800,0,0,1,4,9463,,434.1,-2283.2000000000003,1,,561confocalEM,,2,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_5,07d270e3-24e5-4ef1-8ba4-3b76ba637148,259e70da-ba21-4897-a033-21ea468e7fb6,2014-11-30 16:46:45 -0800,0,0,0,4,2633,,-922.8000000000001,-1729.8,1,,640confocalEM,,4,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_5,07d270e3-24e5-4ef1-8ba4-3b76ba637148,96f2bf05-e833-407f-9a79-792ccea5a86f,2014-11-30 16:46:45 -0800,0,0,1,4,9458,,-922.8000000000001,-1729.8,1,,561confocalEM,,4,0,0,0
/Volumes/Macintosh HD/Google Drive/Groves/Scope 7/20141130 Immunostaining/03 FC1/01 tirf and confocal/confocal_6um_0.5um_6,2959c586-9f6e-4718-a453-2f3baf5fd176,8853ac0b-3254-40bf-8918-098bac58ab20,2014-11-30 16:49:21 -0800,0,0,0,4,2642,,-805.2,-1179.6000000000001,1,,640confocalEM,,5,0,0,0
